abalabal
aduh
ajg
amatir
amit
aneh
anying
apes
apessss
arbitrase
babi
basi
beda
benci
blunder
bodoh
boikot
bombardir
bullshit
bully
buncit
bunuh
buruk
buzzer
capek
close contact
cocok
curang
curiga
delay
depak
dikalahin
diskriminasi
diskriminatif
dzalim
emosi
error
fairplay
fishy
fuck
gaiso
gajelas
gapaham
gemeter
gila
gondok
gugat
gugatan
hilang
hina
hujat
idih
ih
ilang
ilfil
injak
inkompeten
inkonsistensi
jahat
janggal
jatuh
judi
julid
kacau
kacung
kadrun
kalah
kasar
kecam
kecewa
kecut
keder
kesal
kesel
kirik
konyol
kritik
kudet
kudeta
kumpret
kurang
lagisusah
laku
lalai
lambat
larang
leceh
lemah
lepas tangan
luka
lupa
maki
malang
malas
maling
malu
marah
masalah
mati
mental
mistreatment
misuh
modar
mundur
nangis
negatif
ngadi
ngebully
ngehate
ngurung
njs
nyinyir
paksa
pandemi
pemaksaan
penjara
piala camat
problem
protes
pusing
putus
remeh
report
resah
ribet
rugi
runyam
rusak
rusuh
sakit
salah
salfok
sanksi
santet
sebal
sebel
sedih
semena
serang
sesal
settingan
shit
singgung
singkir
skandal
spam
stres
sulit
susah
suudzon
tailah
takut
takut
tantang
teledor
tendang
tenggelam
terzolimi
tidak
tingkat
tolak
tragedi
tuman
tunda
tuntut
turun
ujugujug
unfair
usir
walkout
withdrawn
woow
